partition,block_id,start_second,end_second_exclusive,split
cascade_24s,0,0,24,train
cascade_24s,1,24,48,train
cascade_24s,2,48,72,test
cascade_24s,3,72,96,validation
cascade_24s,4,96,120,train
cascade_24s,5,120,144,train
cascade_24s,6,144,168,train
cascade_24s,7,168,192,train
cascade_24s,8,192,216,test
cascade_24s,9,216,240,train
cascade_24s,10,240,264,train
cascade_24s,11,264,288,test
cascade_24s,12,288,312,train
cascade_24s,13,312,336,train
cascade_24s,14,336,360,train
cascade_24s,15,360,384,validation
cascade_24s,16,384,408,train
cascade_24s,17,408,432,train
cascade_24s,18,432,456,test
cascade_24s,19,456,480,train
cascade_24s,20,480,504,validation
cascade_24s,21,504,528,test
cascade_24s,22,528,552,train
cascade_24s,23,552,576,train
cascade_24s,24,576,600,test
cascade_24s,25,600,624,train
cascade_24s,26,624,648,train
cascade_24s,27,648,672,train
cascade_24s,28,672,696,train
cascade_24s,29,696,720,train
cascade_24s,30,720,737,train
predictor_60s,0,0,60,train
predictor_60s,1,60,120,test
predictor_60s,2,120,180,train
predictor_60s,3,180,240,train
predictor_60s,4,240,300,train
predictor_60s,5,300,360,train
predictor_60s,6,360,420,train
predictor_60s,7,420,480,validation
predictor_60s,8,480,540,test
predictor_60s,9,540,600,test
predictor_60s,10,600,660,train
predictor_60s,11,660,720,train
predictor_60s,12,720,737,train
